
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.10.10:55906    86.51.34.24:53         TIME_WAIT       0
  TCP    192.168.10.10:56692    20.50.73.4:443         ESTABLISHED     38724
  TCP    192.168.10.10:58377    86.51.34.24:53         TIME_WAIT       0
  TCP    192.168.10.10:58380    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.10.10:58960    86.51.35.24:53         TIME_WAIT       0
  TCP    192.168.10.10:58961    20.50.88.238:443       ESTABLISHED     64456
  TCP    192.168.10.10:60622    99.84.152.29:443       ESTABLISHED     57740
  TCP    192.168.10.10:60654    86.51.34.24:53         TIME_WAIT       0
  TCP    192.168.10.10:61400    34.117.201.170:443     ESTABLISHED     38120
  TCP    192.168.10.10:61401    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.10.10:61585    74.242.255.116:443     ESTABLISHED     38120
  TCP    192.168.10.10:62485    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.10.10:62782    20.50.2.7:443          CLOSE_WAIT      36444
  TCP    192.168.10.10:62992    20.190.147.0:443       TIME_WAIT       0
  TCP    192.168.10.10:64000    20.50.88.238:443       TIME_WAIT       0
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.220.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.238.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1724
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:5000              [::]:0                 LISTENING       35644
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:5433              [::]:0                 LISTENING       27608
  TCP    [::]:5985              [::]:0                 LISTENING       4
  TCP    [::]:7070              [::]:0                 LISTENING       4924
  TCP    [::]:27000             [::]:0                 LISTENING       7300
  TCP    [::]:47001             [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       1456
  TCP    [::]:49665             [::]:0                 LISTENING       1284
  TCP    [::]:49666             [::]:0                 LISTENING       2088
  TCP    [::]:49667             [::]:0                 LISTENING       3044
  TCP    [::]:49668             [::]:0                 LISTENING       4684
  TCP    [::]:49685             [::]:0                 LISTENING       8928
  TCP    [::]:49691             [::]:0                 LISTENING       1424
  TCP    [::]:61733             [::]:0                 LISTENING       17228
  TCP    [::1]:3000             [::]:0                 LISTENING       45012
  TCP    [::1]:3000             [::1]:50165            ESTABLISHED     45012
  TCP    [::1]:3000             [::1]:50839            ESTABLISHED     45012
  TCP    [::1]:3000             [::1]:52842            CLOSE_WAIT      45012
  TCP    [::1]:5000             [::1]:50842            TIME_WAIT       0
  TCP    [::1]:5000             [::1]:58639            TIME_WAIT       0
  TCP    [::1]:5433             [::]:0                 LISTENING       23736
  TCP    [::1]:7058             [::]:0                 LISTENING       13744
  TCP    [::1]:9323             [::]:0                 LISTENING       58428
  TCP    [::1]:9323             [::1]:56910            TIME_WAIT       0
  TCP    [::1]:9323             [::1]:64201            ESTABLISHED     58428
  TCP    [::1]:9323             [::1]:64578            TIME_WAIT       0
  TCP    [::1]:42050            [::]:0                 LISTENING       7920
  TCP    [::1]:50165            [::1]:3000             ESTABLISHED     57740
  TCP    [::1]:50839            [::1]:3000             ESTABLISHED     57740
  TCP    [::1]:52842            [::1]:3000             FIN_WAIT_2      17456
  TCP    [::1]:53128            [::]:0                 LISTENING       20204
  TCP    [::1]:64201            [::1]:9323             ESTABLISHED     57740
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:49647  [2603:1040:a06:6::2]:443  ESTABLISHED     18440
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:49718  [2603:1040:a06:6::2]:443  ESTABLISHED     25276
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:50073  [2a00:1450:4018:812::200e]:443  ESTABLISHED     57740
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:51186  [2603:1063:28::2f]:443  ESTABLISHED     31876
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:51544  [2a02:ce0:1:28::5633:5ec3]:443  ESTABLISHED     38120
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:51605  [2603:1046:c0c:c10::2]:443  ESTABLISHED     29092
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:51606  [2603:1046:c0c:c10::2]:443  ESTABLISHED     29092
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:53916  [2606:4700::6811:190e]:443  TIME_WAIT       0
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:53994  [2603:1061:13f0:4006::365:590]:443  ESTABLISHED     7920
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:53995  [2603:1061:13f0:4009::365:590]:443  ESTABLISHED     7920
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:53996  [2603:1061:13f0:4009::365:590]:443  ESTABLISHED     7920
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:54599  [2a00:1450:400c:c0c::bc]:5228  ESTABLISHED     57740
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:55363  [2a00:1450:4018:812::200a]:443  TIME_WAIT       0
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:55619  [2606:4700:20::681a:ccc]:443  TIME_WAIT       0
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:55787  [2a02:ce0:1:28::5633:5ec2]:443  ESTABLISHED     38120
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:55796  [2a00:1450:4018:80f::200a]:443  ESTABLISHED     56100
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:55797  [2a00:1450:4018:80f::200a]:443  ESTABLISHED     56100
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:55799  [2a00:1450:4018:810::2001]:443  TIME_WAIT       0
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:56806  [2a03:2880:f33c:120:face:b00c:0:167]:443  ESTABLISHED     26592
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:56817  [2a00:1450:4018:80d::200a]:443  ESTABLISHED     56100
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:58376  [2a03:2880:f31b:120:face:b00c:0:167]:5222  TIME_WAIT       0
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:58378  [2606:4700::6812:1ea3]:443  ESTABLISHED     38120
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:58379  [2603:1063:21::1ae]:443  ESTABLISHED     31000
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:58382  [2603:1063:27:2::14]:443  ESTABLISHED     5288
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:58405  [2a03:2880:f33c:120:face:b00c:0:167]:443  ESTABLISHED     57740
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:58534  [2001:4860:4802:32::223]:443  ESTABLISHED     56100
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:58632  [2603:1063:27:2::14]:443  TIME_WAIT       0
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:59314  [2a03:2880:f31b:120:face:b00c:0:167]:5222  TIME_WAIT       0
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:60397  [2a00:1450:4018:812::200a]:443  TIME_WAIT       0
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:60400  [2606:4700::6811:190e]:443  TIME_WAIT       0
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:62476  [2620:1ec:33::11]:443  ESTABLISHED     57740
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:62602  [2606:4700:20::ac43:49d8]:443  ESTABLISHED     57740
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:62991  [2603:1063:2001:280a::365:ff1]:443  ESTABLISHED     29092
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:62994  [2603:1046:c0c:c0c::2]:443  ESTABLISHED     29092
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:62995  [2603:1046:c0c:c0c::2]:443  ESTABLISHED     29092
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:63290  [2a00:1450:4018:814::2016]:443  ESTABLISHED     57740
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:64949  [2a00:1450:4018:80d::200a]:443  ESTABLISHED     57740
  TCP    [2a02:ce0:1802:9024:9891:3aec:efb4:5e3a]:65172  [2a00:1450:4018:80f::2003]:443  TIME_WAIT       0
  UDP    0.0.0.0:53             *:*                                    4324
  UDP    0.0.0.0:123            *:*                                    3660
  UDP    0.0.0.0:3702           *:*                                    13072
  UDP    0.0.0.0:3702           *:*                                    13072
  UDP    0.0.0.0:5050           *:*                                    11480
  UDP    0.0.0.0:5353           *:*                                    3116
  UDP    0.0.0.0:5353           *:*                                    17468
  UDP    0.0.0.0:5353           *:*                                    17468
  UDP    0.0.0.0:5353           *:*                                    17468
  UDP    0.0.0.0:5353           *:*                                    17468
  UDP    0.0.0.0:5353           *:*                                    17468
  UDP    0.0.0.0:5353           *:*                                    33656
  UDP    0.0.0.0:5353           *:*                                    33656
  UDP    0.0.0.0:5353           *:*                                    33656
  UDP    0.0.0.0:5353           *:*                                    33656
  UDP    0.0.0.0:5353           *:*                                    38120
  UDP    0.0.0.0:5353           *:*                                    38120
  UDP    0.0.0.0:5353           *:*                                    17468
  UDP    0.0.0.0:5353           *:*                                    33656
  UDP    0.0.0.0:5353           *:*                                    33656
  UDP    0.0.0.0:5353           *:*                                    17468
  UDP    0.0.0.0:5353           *:*                                    38120
  UDP    0.0.0.0:5353           *:*                                    33656
  UDP    0.0.0.0:5353           *:*                                    38120
  UDP    0.0.0.0:5353           *:*                                    38120
  UDP    0.0.0.0:5353           *:*                                    38120
  UDP    0.0.0.0:5353           *:*                                    38120
  UDP    0.0.0.0:5355           *:*                                    3116
  UDP    0.0.0.0:21119          *:*                                    27440
  UDP    0.0.0.0:49553          *:*                                    3116
  UDP    0.0.0.0:49636          0.0.0.16:443                           57740
  UDP    0.0.0.0:50001          *:*                                    4924
  UDP    0.0.0.0:50078          *:*                                    31876
  UDP    0.0.0.0:52540          0.0.32.14:443                          57740
  UDP    0.0.0.0:53376          *:*                                    27440
  UDP    0.0.0.0:54512          *:*                                    5784
  UDP    0.0.0.0:54558          0.0.32.14:443                          57740
  UDP    0.0.0.0:55224          0.0.0.2:443                            38724
  UDP    0.0.0.0:55317          0.0.32.10:443                          57740
  UDP    0.0.0.0:57895          *:*                                    4324
  UDP    0.0.0.0:57896          *:*                                    4324
  UDP    0.0.0.0:57898          0.0.2.35:443                           57740
  UDP    0.0.0.0:57899          0.0.32.22:443                          57740
  UDP    0.0.0.0:59277          0.0.0.120:443                          57740
  UDP    0.0.0.0:59420          *:*                                    3116
  UDP    0.0.0.0:60395          0.0.32.14:443                          57740
  UDP    0.0.0.0:61275          *:*                                    13072
  UDP    0.0.0.0:62418          *:*                                    31876
  UDP    0.0.0.0:63494          *:*                                    4956
  UDP    0.0.0.0:64892          0.0.32.10:443                          57740
  UDP    0.0.0.0:65273          *:*                                    5784
  UDP    127.0.0.1:1900         *:*                                    7160
  UDP    127.0.0.1:63493        127.0.0.1:63493                        4332
  UDP    127.0.0.1:63906        127.0.0.1:63907                        4880
  UDP    127.0.0.1:63907        127.0.0.1:63906                        4880
  UDP    127.0.0.1:64034        *:*                                    7160
  UDP    172.24.160.1:137       *:*                                    4
  UDP    172.24.160.1:138       *:*                                    4
  UDP    172.24.160.1:1900      *:*                                    7160
  UDP    172.24.160.1:5353      *:*                                    4956
  UDP    172.24.160.1:64035     *:*                                    7160
  UDP    192.168.10.10:137      *:*                                    4
  UDP    192.168.10.10:138      *:*                                    4
  UDP    192.168.10.10:1900     *:*                                    7160
  UDP    192.168.10.10:5353     *:*                                    4956
  UDP    192.168.10.10:5353     *:*                                    5784
  UDP    192.168.10.10:64030    *:*                                    7160
  UDP    192.168.56.1:137       *:*                                    4
  UDP    192.168.56.1:138       *:*                                    4
  UDP    192.168.56.1:1900      *:*                                    7160
  UDP    192.168.56.1:5353      *:*                                    4956
  UDP    192.168.56.1:5353      *:*                                    5784
  UDP    192.168.56.1:64031     *:*                                    7160
  UDP    192.168.220.1:137      *:*                                    4
  UDP    192.168.220.1:138      *:*                                    4
  UDP    192.168.220.1:1900     *:*                                    7160
  UDP    192.168.220.1:5353     *:*                                    4956
  UDP    192.168.220.1:5353     *:*                                    5784
  UDP    192.168.220.1:64033    *:*                                    7160
  UDP    192.168.238.1:137      *:*                                    4
  UDP    192.168.238.1:138      *:*                                    4
  UDP    192.168.238.1:1900     *:*                                    7160
  UDP    192.168.238.1:5353     *:*                                    4956
  UDP    192.168.238.1:64032    *:*                                    7160
  UDP    [::]:123               *:*                                    3660
  UDP    [::]:3702              *:*                                    13072
  UDP    [::]:3702              *:*                                    13072
  UDP    [::]:5353              *:*                                    38120
  UDP    [::]:5353              *:*                                    3116
  UDP    [::]:5353              *:*                                    38120
  UDP    [::]:5353              *:*                                    33656
  UDP    [::]:5353              *:*                                    33656
  UDP    [::]:5353              *:*                                    17468
  UDP    [::]:5353              *:*                                    17468
  UDP    [::]:5355              *:*                                    3116
  UDP    [::]:49553             *:*                                    3116
  UDP    [::]:49636             [2a02:ce0:1:2a::10]:443                  57740
  UDP    [::]:50078             *:*                                    31876
  UDP    [::]:52540             [2a00:1450:4018:812::200e]:443                  57740
  UDP    [::]:54513             *:*                                    5784
  UDP    [::]:54558             [2a00:1450:4018:80d::200e]:443                  57740
  UDP    [::]:55224             [2603:1046:c0c:c10::2]:443                  38724
  UDP    [::]:55317             [2a00:1450:4018:80d::200a]:443                  57740
  UDP    [::]:57897             *:*                                    4324
  UDP    [::]:57898             [2001:4860:4802:32::223]:443                  57740
  UDP    [::]:57899             [2a00:1450:4018:814::2016]:443                  57740
  UDP    [::]:59277             [2001:4860:4802:32::78]:443                  57740
  UDP    [::]:59420             *:*                                    3116
  UDP    [::]:60395             [2a00:1450:4018:812::200e]:443                  57740
  UDP    [::]:61276             *:*                                    13072
  UDP    [::]:62418             *:*                                    31876
  UDP    [::]:63495             *:*                                    4956
  UDP    [::]:64892             [2a00:1450:4018:80f::200a]:443                  57740
  UDP    [::1]:1900             *:*                                    7160
  UDP    [::1]:5353             *:*                                    5784
  UDP    [::1]:5353             *:*                                    4956
  UDP    [::1]:64028            *:*                                    7160
  UDP    [fe80::3569:e546:9152:84fb%61]:1900  *:*                                    7160
  UDP    [fe80::3569:e546:9152:84fb%61]:64029  *:*                                    7160
  UDP    [fe80::8239:af45:b483:cfc1%12]:1900  *:*                                    7160
  UDP    [fe80::8239:af45:b483:cfc1%12]:64027  *:*                                    7160
